review,rating,date,bank,source,clean_review,themes
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using wifi mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon nontechnical influence removed essential service,Other
mortuary app,5,2025-05-25,CBE,Google Play,mortuary app,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,smart app stoped period time device reason,Other
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,amazing app used app one year,Other
👍,5,2025-05-24,CBE,Google Play,,Other
good app,5,2025-05-24,CBE,Google Play,good app,Other
i love it 😍😘,5,2025-05-24,CBE,Google Play,love,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,make life easy,Other
its not fast,1,2025-05-24,CBE,Google Play,fast,Other
wow,4,2025-05-24,CBE,Google Play,wow,Other
it is sooo good,5,2025-05-24,CBE,Google Play,sooo good,Other
excellent,5,2025-05-24,CBE,Google Play,excellent,Other
ok,1,2025-05-24,CBE,Google Play,,Other
Fantastic,5,2025-05-23,CBE,Google Play,fantastic,Other
accessible to using,5,2025-05-23,CBE,Google Play,accessible using,Other
I like it,4,2025-05-23,CBE,Google Play,like,Other
why you change default network?,5,2025-05-23,CBE,Google Play,change default network,Other
very nice 👍,5,2025-05-23,CBE,Google Play,nice,Other
nice fast app,5,2025-05-23,CBE,Google Play,nice fast app,Other
how to I get my money,5,2025-05-23,CBE,Google Play,get money,Other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,bad cant even load need improve service,Other
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,good app please make reliable crash sometimes,App Issues
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,busy dont know prefer 889,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,sometimes nasty lag several hour fix rest,Other
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,boring mobil banking application ethiopiaplease use alternative private bank mobile banking apps,Other
hojii bonsaadha,5,2025-05-22,CBE,Google Play,hojii bonsaadha,Other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,userfriendly appsbecause app easy,Other
Awosome!!!,5,2025-05-22,CBE,Google Play,awosome,Other
"Very good app,",5,2025-05-22,CBE,Google Play,good app,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,sync problem may 2025 date stack may 2025 help pls,Other
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,መተግበሪያ በጣም app nice,Other
I hate this app 😒,1,2025-05-22,CBE,Google Play,hate app,Other
trustful,5,2025-05-22,CBE,Google Play,trustful,Other
I like,5,2025-05-22,CBE,Google Play,like,Other
update issue,4,2025-05-22,CBE,Google Play,update issue,Other
its not working over safari network,1,2025-05-22,CBE,Google Play,working safari network,Other
oldie,1,2025-05-22,CBE,Google Play,oldie,Other
it doesn't work,1,2025-05-21,CBE,Google Play,doesnt work,Other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,app good using well,Other
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,nice app android phone,Other
Yes Yes,5,2025-05-21,CBE,Google Play,yes yes,Other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,በጣም ከርፋፋ,Other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,easy use helpful life,Other
good 👍,4,2025-05-21,CBE,Google Play,good,Other
the best mobile banking app,5,2025-05-21,CBE,Google Play,best mobile banking app,Other
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,app useful appit save timeand secure,Other
it's a good application 👍,5,2025-05-21,CBE,Google Play,good application,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,screenshot reffresh option annoying make transaction delaying activity,Transactions
poor service,1,2025-05-21,CBE,Google Play,poor service,Other
amazing,5,2025-05-20,CBE,Google Play,amazing,Other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,reliable easy use,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,annoying mobile banking app ive ever seen,Other
Cbe mobile banking,5,2025-05-20,CBE,Google Play,cbe mobile banking,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,cant make screenshout app please made modification,Other
Best app I loved it,5,2025-05-19,CBE,Google Play,best app loved,Other
nice app,5,2025-05-19,CBE,Google Play,nice app,Other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,amazing applicatiom sometimes doesnt work,Other
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,well satisfied beautiful app,Other
very good,4,2025-05-17,CBE,Google Play,good,Other
best app.,5,2025-05-17,CBE,Google Play,best app,Other
"not working,why???",5,2025-05-17,CBE,Google Play,workingwhy,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,great impact developer option turnoff fix,Other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,always disappointing especially io one similar local application extremely superior application really disappointing,Other
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,woxe harimo ribiso,Other
"Good ,easy to use",5,2025-05-16,CBE,Google Play,good easy use,Other
Good app,5,2025-05-15,CBE,Google Play,good app,Other
Good job👍,5,2025-05-14,CBE,Google Play,good job,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,please kindly ask update app allow screenshot convenient efficient long add security access reason block screenshooting screen,Other
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,using cbe mobile banking app overall appreciate feuteres however ive notticed turn developer option divice appstop functioning prorerly itwould great could look issue often need access developer setting otter application thankyou attention matter,Other
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,customer service bad nothing good bank,Other
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,amazing mobile banking appbut screenshot receipt doesnt work,Other
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,fast simple easy use,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,fastest transferring app ever reliable,Other
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,fund transferred bank reflect account even though confirmation text message received,Account Access
it's easy and fast,5,2025-05-10,CBE,Google Play,easy fast,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,app dont self activation look near cbe branch thats disgusting,Other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,hello dearest cbe office personnel make benefit using interest free account thanks help,Account Access
wow best application ever,5,2025-05-09,CBE,Google Play,wow best application ever,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,sorry developer mode application hack sure developer stupid doesnt make sense,Other
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,pride ethiopian bank,Other
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,app telling turn developer option please fix,Other
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,happy small prob transfer cant put transfer cashe bil dic,Transactions
amazing apps,5,2025-05-06,CBE,Google Play,amazing apps,Other
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,service mobile banking,Other
needs improvement,1,2025-05-06,CBE,Google Play,need improvement,Other
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,miss old one couldnt send mony bank,Other
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,app recently crushing time open try make transfersit used good take lesson dashen super app ethiotelecom befitting experience glory inv3st making friendly convenient considering leaving cbe good,Other
good but these week not oky,4,2025-05-06,CBE,Google Play,good week oky,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,well designed fixing bug two step verification biometric simply great,App Issues
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,developer reading please fix screenshot functionality least download button work flawlessly without touching twenty time,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,great jobbut one thing hasnt placed transfer bank face like mobile charge card place,Transactions
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,cbe mobilr bankg,Other
verygood,3,2025-05-05,CBE,Google Play,verygood,Other
ممتاز جدا,5,2025-05-04,CBE,Google Play,ممتاز جدا,Other
it's very low quality application,1,2025-05-04,CBE,Google Play,low quality application,Other
Very Amazing Apps,5,2025-05-04,CBE,Google Play,amazing apps,Other
አዛ,1,2025-05-04,CBE,Google Play,,Other
wow simple life,5,2025-05-04,CBE,Google Play,wow simple life,Other
it's nice,5,2025-05-03,CBE,Google Play,nice,Other
Why stacked sometimes,5,2025-05-03,CBE,Google Play,stacked sometimes,Other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,okay sometimes busy,Other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,worst commercial company fails even normal thing,Other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,good app disappointed general cessation system,Other
Good and fast,5,2025-05-02,CBE,Google Play,good fast,Other
Unreliable!,1,2025-05-02,CBE,Google Play,unreliable,Other
Best the best fast,5,2025-05-02,CBE,Google Play,best best fast,Other
happy,5,2025-05-02,CBE,Google Play,happy,Other
fast and reliable,5,2025-05-02,CBE,Google Play,fast reliable,Other
network errorrrrrr,2,2025-05-02,CBE,Google Play,network errorrrrrr,Other
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,best app problem cant send money telebirr mpesa add could use full,Other
its good and simple to use,5,2025-05-02,CBE,Google Play,good simple use,Other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,worest app like bank security network access,Other
it's the best app i,5,2025-05-02,CBE,Google Play,best app,Other
not bad not good,1,2025-05-02,CBE,Google Play,bad good,Other
its very nice,5,2025-05-02,CBE,Google Play,nice,Other
do not work this week,3,2025-04-30,CBE,Google Play,work week,Other
It crashes frequently,4,2025-04-30,CBE,Google Play,crash frequently,App Issues
the best,5,2025-04-28,CBE,Google Play,best,Other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,simply describe app making work easier,Other
goid,5,2025-04-28,CBE,Google Play,goid,Other
best appearance,5,2025-04-27,CBE,Google Play,best appearance,Other
it's very good 👍 app,5,2025-04-27,CBE,Google Play,good app,Other
I need support you,5,2025-04-27,CBE,Google Play,need support,Other
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,worst mobile banking ever seen life,Other
super,5,2025-04-26,CBE,Google Play,super,Other
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,ጠጀጨገጀጀገ,Other
